"Year";"State";"Type";"Length";"Expense";"Value"
2013;"Nevada";"Public Out-of-State";"4-year";"Room/Board";10991.0
2013;"New Hampshire";"Private";"4-year";"Fees/Tuition";30202.0
2013;"New Hampshire";"Private";"4-year";"Room/Board";12107.0
2013;"New Hampshire";"Public In-State";"2-year";"Fees/Tuition";7218.0
2013;"New Hampshire";"Public In-State";"4-year";"Fees/Tuition";14435.0
2013;"New Hampshire";"Public In-State";"4-year";"Room/Board";10270.0
2013;"New Hampshire";"Public Out-of-State";"2-year";"Fees/Tuition";15697.0
2013;"New Hampshire";"Public Out-of-State";"4-year";"Fees/Tuition";24945.0
2013;"New Hampshire";"Public Out-of-State";"4-year";"Room/Board";10270.0
2013;"New Jersey";"Private";"4-year";"Fees/Tuition";31195.0
2013;"New Jersey";"Private";"4-year";"Room/Board";11636.0
2013;"New Jersey";"Public In-State";"2-year";"Fees/Tuition";3782.0
2013;"New Jersey";"Public In-State";"4-year";"Fees/Tuition";11955.0
2013;"New Jersey";"Public In-State";"4-year";"Room/Board";11819.0
2013;"New Jersey";"Public Out-of-State";"2-year";"Fees/Tuition";6591.0
2013;"New Jersey";"Public Out-of-State";"4-year";"Fees/Tuition";24447.0
2013;"New Jersey";"Public Out-of-State";"4-year";"Room/Board";11819.0
2013;"New Mexico";"Private";"4-year";"Fees/Tuition";16256.0
2013;"New Mexico";"Private";"4-year";"Room/Board";8889.0
2013;"New Mexico";"Public In-State";"2-year";"Fees/Tuition";1399.0
2013;"New Mexico";"Public In-State";"4-year";"Fees/Tuition";5483.0
2013;"New Mexico";"Public In-State";"4-year";"Room/Board";7742.0
2013;"New Mexico";"Public Out-of-State";"2-year";"Fees/Tuition";4558.0
2013;"New Mexico";"Public Out-of-State";"4-year";"Fees/Tuition";14327.0
2013;"New Mexico";"Public Out-of-State";"4-year";"Room/Board";7742.0
2013;"New York";"Private";"4-year";"Fees/Tuition";32438.0
2013;"New York";"Private";"4-year";"Room/Board";12901.0
2013;"New York";"Public In-State";"2-year";"Fees/Tuition";4331.0
2013;"New York";"Public In-State";"4-year";"Fees/Tuition";6556.0
2013;"New York";"Public In-State";"4-year";"Room/Board";11841.0
2013;"New York";"Public Out-of-State";"2-year";"Fees/Tuition";7827.0
2013;"New York";"Public Out-of-State";"4-year";"Fees/Tuition";15751.0
2013;"New York";"Public Out-of-State";"4-year";"Room/Board";11841.0
2013;"North Carolina";"Private";"4-year";"Fees/Tuition";26336.0
2013;"North Carolina";"Private";"4-year";"Room/Board";9858.0
2013;"North Carolina";"Public In-State";"2-year";"Fees/Tuition";2212.0
2013;"North Carolina";"Public In-State";"4-year";"Fees/Tuition";6223.0
2013;"North Carolina";"Public In-State";"4-year";"Room/Board";8291.0
2013;"North Carolina";"Public Out-of-State";"2-year";"Fees/Tuition";8171.0
2013;"North Carolina";"Public Out-of-State";"4-year";"Fees/Tuition";19733.0
2013;"North Carolina";"Public Out-of-State";"4-year";"Room/Board";8291.0
2013;"North Dakota";"Private";"4-year";"Fees/Tuition";12318.0
2013;"North Dakota";"Private";"4-year";"Room/Board";5424.0
2013;"North Dakota";"Public In-State";"2-year";"Fees/Tuition";4048.0
2013;"North Dakota";"Public In-State";"4-year";"Fees/Tuition";6572.0
2013;"North Dakota";"Public In-State";"4-year";"Room/Board";6639.0
2013;"North Dakota";"Public Out-of-State";"2-year";"Fees/Tuition";8216.0
2013;"North Dakota";"Public Out-of-State";"4-year";"Fees/Tuition";16170.0
2013;"North Dakota";"Public Out-of-State";"4-year";"Room/Board";6639.0
2013;"Ohio";"Private";"4-year";"Fees/Tuition";25756.0
2013;"Ohio";"Private";"4-year";"Room/Board";9612.0
